18.98,85.014
14.639,121.08
13.65,162.23
9.2118,201.56
14.803,232.85
5.5964,338.33
46.972,450.48
48.003,206.77
48.019,13.155
52.658,149.39
95.578,166.96
85.835,28.682
90.663,491.1
110.26,132.84
135.17,120.2
114.08,58.786
94,166
126.35,341.11
128,11.983
132.33,494.29
116,53
128.14,6.7887
151.69,78.892
145.04,284.44
125,332
163,26.807
173.6,269.29
170.83,462.67
154.91,504.88
170.41,166.33
179.83,498.33
188.16,398.42
179.03,46.299
177,450
214.36,422.66
213.66,80.228
196.62,140.56
199.54,8.6593
230.22,490.83
204.12,28.971
205.99,70.407
203.4,118.19
204.01,427.82
228.1,330.22
236.8,187.49
236.03,10.768
246.64,146.38
247.05,61.524
249,423.11
262.67,364.92
256.38,199.69
268.83,101.58
275.04,18.644
271.35,72.746
302.59,35.096
278.09,168.19
303.39,405.93
307.96,79.934
286.14,381.88
310.85,130.73
343.11,377.94
307.24,9.1047
310.65,80.411
345.68,35.375
320.4,395.08
351.52,107.6
363.84,61.443
336,37
358.85,140.81
348.86,257.6
361.86,175.77
351.18,402.53
367.93,9.057
360.56,356.14
391.9,194.59
400.58,337.94
388.21,135.93
408.67,17.992
412.13,224.13
442.75,467.26
453.91,233.89
447.81,21.048
455.29,405.5
464.07,177.67
463.41,76.802
480.98,454.72
468.54,45.046
486.66,200.7
480.81,14.253
469.51,449.16
484.53,44.149
494.81,496.41
504.45,173.53
504.42,66.598
504.96,225.27
